NO_OF_FRAMES	1200
NO_OF_CAMERAS	7
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-30, 12:59:36	3231.27037116
DATA_INCLUDED	3D
MARKER_NAMES	HIP	KNEE	ANKLE
Frame	Time	HIP X	HIP Y	HIP Z	KNEE X	KNEE Y	KNEE Z	ANKLE X	ANKLE Y	ANKLE Z	
154	0.64167	767.039	803.930	851.562	776.983	828.808	430.321	788.100	885.693	106.648
155	0.64583	767.053	803.847	851.562	776.979	828.814	430.350	788.041	885.596	106.767
156	0.65000	767.013	803.800	851.580	776.940	828.750	430.324	788.127	885.690	106.728
157	0.65417	766.961	803.769	851.553	776.967	828.906	430.329	788.192	885.734	106.756
158	0.65833	766.959	803.777	851.593	776.960	828.723	430.345	788.080	885.566	106.806
159	0.66250	767.071	803.800	851.621	776.943	828.765	430.408	788.069	885.699	106.725
160	0.66667	767.006	803.843	851.622	776.940	828.763	430.340	788.087	885.674	106.840
161	0.67083	767.076	803.792	851.542	776.935	828.743	430.329	788.120	885.604	106.840
162	0.67500	767.009	803.688	851.560	776.934	828.760	430.290	788.082	885.626	106.856
163	0.67917	767.025	803.736	851.533	776.949	828.701	430.352	788.100	885.663	106.814
164	0.68333	766.964	803.634	851.535	776.898	828.746	430.309	788.052	885.630	106.866
165	0.68750	766.981	803.710	851.568	776.963	828.718	430.291	788.068	885.761	106.639
166	0.69167	766.961	803.687	851.599	776.957	828.756	430.328	788.030	885.661	106.726
167	0.69583	767.000	803.637	851.585	776.921	828.687	430.347	788.212	885.540	106.780
168	0.70000	766.989	803.621	851.528	776.963	828.719	430.351	788.103	885.508	106.914
169	0.70417	767.063	803.671	851.562	776.915	828.668	430.380	788.070	885.645	106.777
170	0.70833	766.976	803.649	851.581	776.897	828.707	430.331	788.062	885.665	106.806
171	0.71250	766.991	803.582	851.563	776.896	828.695	430.332	788.122	885.640	106.941
172	0.71667	766.910	803.635	851.520	776.911	828.723	430.309	788.091	885.615	106.903
173	0.72083	766.910	803.539	851.634	776.909	828.757	430.361	788.088	885.611	106.917
174	0.72500	766.968	803.516	851.600	776.923	828.677	430.370	788.047	885.588	106.740
175	0.72917	766.941	803.532	851.588	776.886	828.724	430.304	788.064	885.632	106.816
176	0.73333	766.973	803.521	851.593	776.878	828.684	430.357	788.117	885.570	106.855
177	0.73750	766.990	803.520	851.608	776.887	828.703	430.296	788.103	885.655	106.786
178	0.74167	766.922	803.445	851.529	776.936	828.630	430.353	788.085	885.643	106.860
